origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
347,334,0,0,0,0,1,7,11,23,29,15,15,19,19,15,19,22,28,37,25,16,20,8,3,2
348,48,0,0,0,0,0,1,3,3,2,3,1,1,4,3,2,5,5,8,3,2,1,1,0,0
349,34,0,0,0,0,0,0,1,5,2,3,1,3,0,2,1,2,6,3,1,1,3,0,0,0
350,64,0,0,0,0,0,0,0,0,2,3,4,6,8,3,4,7,7,1,5,6,4,4,0,0
351,39,0,0,0,0,0,2,1,6,1,1,3,1,4,1,3,1,2,2,3,3,4,1,0,0
352,358,0,0,0,0,2,2,8,9,7,9,13,13,28,20,28,30,36,67,36,20,16,6,8,0
353,67,0,0,0,0,0,0,1,0,6,3,0,3,4,4,3,5,7,12,9,3,3,3,1,0
354,394,0,0,0,0,1,0,5,11,19,9,13,15,23,31,20,24,54,56,46,28,17,15,6,1
355,11,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,2,0,1,0,0,0
356,18,0,0,0,0,0,0,1,1,1,3,0,0,2,0,2,1,2,1,1,2,0,1,0,0
357,14,0,0,0,0,0,1,0,0,1,1,1,1,2,3,1,0,2,0,0,1,0,0,0,0
358,15,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,4,1,2,1,0,0,0,0,0
359,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
360,44,0,0,0,0,0,0,1,4,3,4,5,2,2,5,3,2,4,0,3,3,2,0,1,0
361,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,2,3,1,1,0,0,0,0
362,19,0,0,0,0,0,0,0,2,0,4,1,0,2,3,1,1,1,2,1,0,1,0,0,0
363,11,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1,0,3,0,0,0,1,0
364,133,0,0,0,0,0,1,2,9,5,10,10,8,7,11,9,9,14,8,13,2,8,4,3,0
365,38,0,0,0,0,1,0,0,1,2,1,3,3,1,4,4,2,3,3,4,2,3,0,1,0
366,83,0,0,0,0,0,3,3,2,5,10,6,8,5,6,1,3,8,6,3,5,3,5,1,0
367,166,0,0,0,0,0,1,3,4,6,10,10,9,11,8,8,13,22,21,20,7,6,3,3,1
368,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,0,1,1,0,0,0,0
369,13,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,3,1,1,1,0,1,0,0
370,59,0,0,0,0,0,0,1,1,6,6,3,2,2,3,3,6,5,8,6,2,2,0,3,0
371,138,0,0,0,0,0,0,3,8,8,16,10,11,5,10,11,14,11,9,5,10,5,2,0,0
372,124,0,0,0,0,0,0,4,11,11,6,4,9,9,6,11,9,6,6,9,10,5,8,0,0
373,34,0,0,0,0,0,0,1,1,1,1,1,1,4,2,3,4,2,3,1,3,2,1,2,1
