origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
450,117,3,15,7,29,4,7,40,1,11
451,31,1,5,1,11,1,1,8,1,2
452,31,3,0,3,5,1,0,16,0,3
453,73,0,7,2,28,4,1,27,0,4
454,86,2,4,2,24,6,4,37,0,7
455,145,0,10,6,41,6,7,53,1,21
456,10,1,0,3,2,0,0,3,0,1
457,203,3,25,18,61,4,7,64,0,21
458,182,6,17,6,55,5,4,72,2,15
459,51,1,9,6,10,2,0,20,0,3
460,79,1,10,5,19,4,2,33,0,5
461,90,3,8,8,22,4,1,38,0,6
462,98,2,3,6,23,4,7,47,1,5
463,102,2,13,18,10,4,18,26,2,9
464,62,3,5,12,6,2,10,20,1,3
465,36,2,2,6,4,1,5,13,0,3
466,47,4,0,9,8,2,6,18,0,0
467,45,3,7,4,1,2,4,18,1,5
468,56,5,5,9,7,1,9,16,2,2
469,276,14,32,19,68,15,21,89,2,16
470,52,5,5,5,15,0,4,11,1,6
471,76,7,4,22,8,0,9,20,0,6
472,235,14,49,26,35,3,21,53,2,32
473,59,9,2,10,9,3,4,13,1,8
474,163,14,9,28,34,3,19,49,1,6
475,38,1,7,0,5,1,3,13,1,7
476,131,13,12,21,20,3,12,35,3,12
477,207,22,13,47,24,5,29,45,5,17
478,15,3,0,5,1,1,2,3,0,0
479,91,10,5,19,12,2,12,29,0,2
480,52,7,2,6,9,3,8,13,2,2
481,130,7,15,16,17,6,14,47,2,6
482,454,28,35,70,82,14,31,146,9,39
483,120,5,23,25,11,3,18,24,2,9
484,46,5,6,11,7,1,2,10,1,3
485,155,8,13,33,20,3,23,35,8,12
486,192,39,8,45,23,2,19,45,4,7
487,139,24,3,30,15,2,19,45,0,1
488,39,0,2,7,9,1,7,8,1,4
489,172,19,9,31,16,6,22,64,1,4
490,133,18,4,46,6,6,10,41,0,2
491,114,7,12,19,14,3,6,38,5,10
492,290,44,8,92,23,7,37,69,3,7
493,194,24,5,33,24,7,28,63,2,8
494,195,20,11,59,23,6,30,39,2,5
495,215,22,8,42,36,13,27,54,4,9
496,627,32,85,84,105,18,40,171,9,83
497,27,1,1,4,7,2,3,8,0,1
498,111,6,20,15,8,1,24,20,7,10
499,1299,35,161,219,232,22,100,414,12,104
500,934,46,111,174,122,21,82,281,17,80
501,368,56,17,93,24,8,62,98,1,9
502,85,9,3,10,7,4,18,20,9,5
503,101,14,1,15,7,4,13,42,0,5
504,49,7,1,7,2,2,10,20,0,0
505,14,2,2,3,1,0,1,5,0,0
506,227,20,21,29,29,7,33,59,12,17
507,182,19,9,51,11,2,32,45,5,8
508,51,3,2,5,3,2,20,13,0,3
509,53,2,1,16,3,2,15,14,0,0
510,210,9,14,23,49,8,17,73,3,14
511,56,2,3,4,2,3,7,26,3,6
512,214,19,22,24,35,12,13,79,2,8
513,97,5,5,12,16,6,13,32,3,5
514,371,15,58,49,39,11,43,91,17,48
515,9,0,0,0,1,0,1,6,0,1
516,83,6,5,20,10,4,13,21,0,4
517,67,5,8,6,4,1,7,21,4,11
518,63,0,6,3,11,4,4,25,4,6
519,16,0,0,0,0,1,0,15,0,0
520,17,2,1,3,2,0,1,5,1,2
521,2,0,1,0,0,0,0,1,0,0
522,8,1,3,2,1,0,0,1,0,0
523,14,1,0,1,1,2,2,7,0,0
524,27,0,0,1,4,2,0,20,0,0
525,8,1,0,1,1,0,1,4,0,0
526,67,2,8,8,12,1,10,16,3,7
527,11,0,2,0,2,0,0,6,0,1
528,42,1,2,1,16,2,1,14,1,4
529,16,0,0,1,2,1,0,12,0,0
530,19,0,1,3,8,1,0,5,1,0
531,32,1,2,7,1,0,9,12,0,0
532,41,3,0,9,3,2,2,22,0,0
533,24,1,2,5,5,0,3,7,0,1
534,55,3,6,3,11,3,2,18,1,8
535,47,3,2,3,10,1,7,19,1,1
536,9,0,0,1,5,0,0,2,1,0
537,13,2,1,2,2,0,2,2,0,2
538,16,3,3,0,1,0,0,9,0,0
539,27,1,0,2,5,2,4,10,1,2
540,50,8,2,7,7,4,10,8,3,1
541,33,4,3,12,5,2,4,3,0,0
542,13,4,0,2,1,0,2,3,0,1
543,9,1,1,2,1,0,1,2,0,1
544,67,3,4,10,16,5,10,18,0,1
545,34,3,3,3,10,0,4,9,2,0
546,70,3,3,5,33,2,2,20,1,1
547,41,1,4,3,10,2,2,14,1,4
548,14,1,0,5,0,0,3,5,0,0
549,66,8,1,21,5,1,14,16,0,0
550,49,7,1,12,6,2,7,12,0,2
551,22,4,1,5,6,1,2,1,0,2
552,61,2,6,5,25,4,6,12,1,0
553,13,0,1,3,3,2,1,2,0,1
554,38,5,1,9,4,2,9,8,0,0
555,58,12,3,11,2,2,11,16,0,1
556,71,9,4,12,9,4,14,13,1,5
557,27,1,1,10,5,1,5,3,1,0
558,29,3,4,5,7,0,4,5,1,0
559,44,7,3,9,8,2,4,11,0,0
560,80,9,5,16,8,3,16,21,1,1
561,117,11,5,23,20,3,11,35,0,9
562,19,2,1,5,3,0,3,4,0,1
563,56,5,1,6,11,2,10,20,0,1
564,27,2,1,2,5,4,2,10,0,1
565,21,1,2,5,2,0,10,1,0,0
566,20,1,2,2,1,1,5,5,0,3
567,10,2,0,3,2,0,0,3,0,0
568,101,7,13,24,15,4,9,15,3,11
569,25,3,1,4,4,1,5,5,1,1
570,6,1,1,0,0,1,0,3,0,0
571,35,3,1,10,3,0,5,9,0,4
572,50,4,6,3,7,2,3,14,2,9
573,6,1,0,1,0,0,0,4,0,0
574,138,8,23,9,23,2,8,43,3,19
575,22,3,0,4,4,0,3,6,0,2
576,30,2,1,4,5,2,3,10,2,1
577,7,1,1,0,2,0,0,2,0,1
578,167,10,24,9,23,8,8,64,3,18
579,2,1,0,0,0,0,0,1,0,0
580,12,0,0,0,2,0,0,9,0,1
581,23,1,3,4,5,4,1,3,0,2
582,9,0,1,1,1,1,1,4,0,0
583,4,0,1,0,3,0,0,0,0,0
584,41,7,3,5,2,1,10,6,2,5
585,217,23,21,29,29,4,24,62,4,21
586,65,7,8,3,7,4,8,20,2,6
587,75,6,5,14,8,6,10,19,1,6
588,45,0,7,5,8,1,4,16,1,3
589,322,61,44,34,46,7,19,75,6,30
590,74,8,7,13,7,9,4,21,0,5
591,23,2,1,4,1,1,2,11,0,1
592,31,1,2,4,3,1,2,10,4,4
593,206,19,30,18,28,4,16,59,4,28
594,120,5,11,6,16,5,5,61,1,10
595,89,9,6,6,11,5,10,36,2,4
596,225,16,22,20,28,7,20,85,4,23
597,76,13,12,8,10,2,3,17,2,9
598,168,3,21,6,38,11,7,64,4,14
599,129,4,17,9,30,5,7,46,0,11
600,121,1,21,10,19,3,8,41,1,17
601,74,8,6,7,6,2,10,24,1,10
602,29,2,1,6,2,0,8,7,0,3
603,36,2,1,6,9,2,2,14,0,0
604,97,10,5,17,15,2,15,25,0,8
605,115,16,5,20,24,6,10,26,0,8
606,19,4,1,2,1,0,3,8,0,0
607,54,6,2,8,10,0,6,19,0,3
608,29,3,3,2,6,0,1,8,4,2
609,34,1,4,2,10,3,3,10,0,1
610,20,6,3,3,0,1,1,6,0,0
611,164,5,16,5,44,5,6,67,3,13
612,179,4,16,11,55,11,7,57,1,17
613,79,13,6,16,4,3,10,19,3,5
614,63,10,1,15,4,3,11,16,0,3
615,81,3,8,9,15,3,8,28,3,4
616,14,1,0,2,0,1,2,8,0,0
617,10,5,0,0,2,0,2,1,0,0
618,47,7,3,14,3,0,9,9,0,2
619,43,6,4,2,9,2,2,16,0,2
620,135,5,15,20,20,4,15,32,3,21
621,93,8,9,11,10,10,4,30,3,8
622,161,10,12,16,32,7,9,54,3,18
623,125,7,21,15,17,3,13,23,9,17
624,122,2,11,18,14,9,12,47,1,8
625,31,4,3,3,2,0,4,12,1,2
626,191,27,8,36,18,3,22,72,1,4
627,236,28,13,53,34,7,23,70,1,7
628,430,42,33,78,68,19,32,123,2,33
629,154,25,9,38,20,4,13,35,4,6
630,144,22,7,21,19,5,18,42,2,8
631,229,28,9,35,40,10,24,70,3,10
632,1053,80,46,101,318,46,61,359,9,33
633,504,46,27,53,131,23,45,163,7,9
634,151,20,7,34,19,8,22,33,3,5
635,781,110,42,231,72,32,61,195,12,26
636,197,11,11,25,13,8,32,74,13,10
637,162,17,8,23,12,9,7,74,1,11
638,46,3,1,3,8,1,4,24,0,2
639,23,1,2,3,3,3,0,8,1,2
640,70,7,1,14,7,0,17,20,1,3
641,549,61,27,104,96,26,42,163,7,23
642,49,3,3,7,3,2,2,21,2,6
643,159,12,0,17,39,6,17,62,2,4
644,33,2,1,6,5,1,2,11,3,2
645,195,19,4,26,25,11,28,67,6,9
646,214,21,15,37,15,9,43,50,7,17
647,19,1,1,4,1,1,1,9,0,1
648,49,3,3,7,2,3,10,19,0,2
649,1,0,0,0,0,0,0,1,0,0
650,80,11,5,19,7,0,9,24,2,3
651,44,6,2,9,1,1,14,10,1,0
652,13,0,1,1,1,1,6,2,0,1
653,12,1,0,3,1,1,1,5,0,0
654,72,5,3,24,7,2,8,23,0,0
655,287,42,11,75,41,7,27,75,0,9
656,32,2,2,3,3,1,6,12,0,3
657,40,1,3,4,3,1,3,18,2,5
658,5,1,0,0,0,1,2,1,0,0
659,169,28,4,32,11,3,24,59,1,7
660,18,4,2,2,3,1,1,4,0,1
661,89,12,1,20,8,10,14,19,0,5
662,179,18,12,41,13,4,35,46,3,7
663,76,8,4,10,13,4,13,19,1,4
664,217,36,4,43,18,9,24,76,3,4
665,153,13,9,18,29,7,9,56,1,11
666,183,31,12,48,17,4,26,35,3,7
667,637,80,59,128,100,17,49,146,1,57
668,337,54,15,85,34,13,45,74,2,15
669,189,21,12,54,14,3,30,47,2,6
670,68,1,5,2,19,5,4,27,2,3
671,233,13,14,16,58,16,8,82,6,20
672,71,9,2,13,9,5,6,16,4,7
673,290,48,22,57,36,8,32,70,5,12
674,143,12,8,29,18,4,24,40,0,8
675,149,20,5,38,16,4,26,37,1,2
676,131,23,12,26,10,2,18,30,1,9
677,39,2,2,6,6,2,1,13,0,7
678,13,1,2,0,3,0,0,5,1,1
679,21,1,1,5,2,0,4,6,1,1
680,55,4,6,8,3,1,14,13,4,2
681,16,2,1,3,3,0,1,4,0,2
682,218,7,21,25,19,7,15,96,5,23
683,223,7,29,18,34,8,12,84,5,26
684,162,5,23,10,29,5,3,58,6,23
685,57,6,2,10,9,0,9,18,1,2
686,105,11,3,14,13,7,10,41,2,4
687,69,3,6,15,12,2,9,19,1,2
688,160,5,24,13,31,2,10,58,2,15
689,74,2,7,4,19,5,0,32,1,4
690,53,3,3,4,10,2,3,19,3,6
691,93,2,2,9,15,9,5,40,7,4
692,39,1,2,5,6,2,3,19,0,1
693,71,3,5,9,12,3,7,24,4,4
694,100,9,17,15,12,0,9,23,3,12
695,78,1,13,4,15,3,6,29,0,7
696,33,1,1,2,7,4,0,13,1,4
697,41,2,1,3,26,0,2,4,0,3
698,37,1,4,6,5,1,3,11,1,5
699,52,4,4,6,8,2,9,16,1,2
700,58,5,4,2,13,2,3,22,0,7
701,40,1,5,2,5,1,1,17,3,5
