origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
123,84,1,0,0,0,1,1,3,4,9,3,5,2,7,1,4,5,5,10,10,5,3,4,1,0,123,92,0,0,0,0,0,1,2,2,1,6,6,6,7,11,4,5,5,11,12,4,1,6,1,1
124,304,1,0,0,0,3,3,7,22,19,14,24,27,22,28,17,20,25,24,24,7,6,9,0,2,124,304,0,0,1,0,0,2,7,16,19,22,24,23,17,21,20,22,18,17,21,20,11,12,7,4
125,182,2,0,0,0,0,0,5,3,10,11,8,8,12,18,12,13,6,15,14,15,10,15,3,2,125,185,0,0,0,0,0,0,1,4,11,12,14,17,25,12,13,11,10,12,18,12,5,6,0,2
126,252,1,0,0,1,1,1,7,8,15,7,8,14,15,16,20,15,21,25,28,19,15,9,5,1,126,247,0,0,0,0,0,1,1,10,17,18,15,21,22,20,18,19,12,19,19,13,8,8,3,3
127,144,1,0,0,0,0,2,11,8,10,8,5,12,15,3,10,12,9,13,10,2,9,4,0,0,127,148,0,0,1,0,0,1,1,10,11,13,10,7,10,5,4,9,11,12,22,5,3,6,3,3
128,121,1,0,0,0,1,1,4,6,2,2,4,4,12,6,12,10,15,6,7,5,9,10,3,1,128,126,0,1,0,0,0,1,1,7,9,11,12,6,7,16,7,10,6,8,8,4,5,5,1,1
129,63,0,0,0,0,0,2,3,5,1,4,2,3,6,6,0,8,3,5,6,4,2,2,0,1,129,61,0,0,0,0,0,0,1,5,10,4,4,4,4,6,1,7,2,3,1,3,4,2,0,0
130,90,0,0,0,0,0,2,2,4,4,4,2,8,6,7,7,8,10,7,4,8,6,1,0,0,130,86,0,1,0,0,0,1,3,9,7,5,6,5,5,7,4,5,2,3,8,6,5,1,0,3
131,39,0,0,0,0,0,2,0,2,4,2,2,0,3,2,3,3,4,6,3,1,2,0,0,0,131,38,0,0,0,0,0,0,1,1,5,2,3,1,2,1,4,0,1,5,3,2,3,2,1,1
132,31,1,0,0,0,0,0,1,5,1,3,3,1,2,0,1,2,1,1,1,2,2,2,2,0,132,30,0,0,0,0,0,0,1,0,2,1,0,2,3,2,4,1,2,3,3,2,3,1,0,0
133,99,0,0,0,0,0,2,4,7,6,4,2,11,4,4,12,9,10,4,6,6,6,1,0,1,133,105,0,0,0,0,0,2,1,7,6,11,4,8,8,9,7,11,7,4,5,5,2,2,5,1
134,17,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,3,0,3,1,0,1,1,1,0,134,22,0,0,0,0,0,0,2,0,3,1,1,1,1,4,4,0,2,1,1,1,0,0,0,0
135,41,0,0,0,0,0,1,1,3,0,2,1,1,4,2,5,4,3,4,1,3,3,2,1,0,135,46,0,0,1,0,0,0,0,4,1,2,0,1,1,4,3,7,3,6,5,2,5,0,0,1
136,270,1,0,1,0,0,4,13,31,28,15,17,15,18,17,13,17,20,20,14,8,5,10,2,1,136,247,0,1,1,0,0,0,3,7,11,17,16,16,10,19,16,20,16,25,24,13,9,10,6,3
137,139,1,1,0,0,1,4,11,18,18,9,7,9,6,13,9,3,3,6,6,7,4,1,2,0,137,128,0,0,1,0,0,1,3,3,2,3,3,7,5,5,7,8,8,17,21,8,5,12,7,2
138,12,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,0,0,2,2,1,0,1,0,0,138,14,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,2,2,1,1,1,1,0
139,52,0,0,0,0,0,4,4,3,5,2,7,5,2,5,3,1,2,3,2,2,1,0,1,0,139,61,0,0,0,0,0,1,1,4,5,2,0,0,3,5,1,5,3,6,4,10,2,4,3,2
140,88,0,0,0,0,0,2,7,11,12,6,9,3,3,8,4,3,5,1,4,6,1,0,3,0,140,87,0,0,0,0,0,0,0,1,4,9,6,5,3,8,4,8,7,5,6,6,3,3,6,3
