Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
2950,2950,149,198,1,Tue,Home Worker,OO,44.81,16,17
2951,2951,198,192,1,Tue,Home Worker,OH,44.81,16,17
2968,2968,195,185,1,Tue,Resident Worker,HH,40.18,9,10
2969,2969,195,195,1,Tue,Resident Worker,HH,40.18,13,14
2970,2970,195,195,1,Tue,Resident Worker,HH,40.18,19,20
2971,2971,195,197,1,Tue,Resident Worker,HH,40.18,21,22
3015,3015,198,197,1,Tue,Home Worker,HO,18.77,8,9
3016,3016,197,198,1,Tue,Home Worker,OH,18.77,16,17
3047,3047,147,147,1,Tue,Resident Worker,OW,48.81,9,10
3048,3048,147,108,1,Tue,Resident Worker,WO,48.81,19,20
3049,3049,108,108,1,Tue,Resident Worker,OO,48.81,20,21
3122,3122,95,88,1,Tue,Long Term Visitor,OO,59.71,11,12
3123,3123,88,187,1,Tue,Long Term Visitor,OO,59.71,13,14
3147,3147,209,215,1,Tue,Long Term Visitor,OO,35.64,18,19
3155,3155,207,218,1,Tue,Resident Worker,WO,78.62,15,16
3156,3156,218,180,1,Tue,Resident Worker,OO,78.62,21,22
3200,3200,208,213,1,Tue,Resident Worker,OW,35.45,14,15
3201,3201,213,218,1,Tue,Resident Worker,WO,54.39,17,18
3206,3206,218,209,1,Tue,Resident Worker,HO,45.85,17,18
3207,3207,209,214,1,Tue,Resident Worker,OO,45.85,21,22
3232,3232,186,213,1,Tue,Long Term Visitor,OO,31.2,9,10
3252,3252,143,213,1,Tue,Home Worker,OH,23.98,16,17
3273,3273,74,90,1,Tue,Long Term Visitor,OO,30.71,12,13
3274,3274,90,64,1,Tue,Long Term Visitor,OO,30.71,13,14
3275,3275,64,90,1,Tue,Long Term Visitor,OO,30.71,13,14
3290,3290,64,67,1,Tue,Inbound Commuter,OW,21.03,7,8
3291,3291,67,64,1,Tue,Inbound Commuter,WO,21.03,18,19
3293,3293,192,192,1,Tue,Home Worker,HH,44.57,17,18
3310,3310,92,124,1,Tue,Resident Worker,OO,54.82,9,10
3311,3311,124,73,1,Tue,Resident Worker,OO,54.82,11,12
3312,3312,64,229,1,Tue,Resident Worker,OO,93.44,13,14
3340,3340,142,108,1,Tue,Resident Worker,HO,29.97,11,12
3344,3344,197,142,1,Tue,Resident Worker,OH,29.97,18,19
3362,3362,64,93,1,Tue,Home Worker,OO,58.71,17,18
3363,3363,93,99,1,Tue,Home Worker,OO,58.71,17,18
3372,3372,213,213,1,Tue,Resident Worker,OO,55.39,16,17
3546,3546,82,82,1,Tue,Home Worker,HH,137.28,12,13
3569,3569,26,26,1,Tue,Resident Worker,OO,73.0,8,9
3570,3570,26,62,1,Tue,Resident Worker,OO,73.0,11,12
3576,3576,167,120,1,Tue,Resident Worker,OO,37.66,5,6
3577,3577,120,150,1,Tue,Resident Worker,OO,37.66,14,15
3590,3590,177,150,1,Tue,Home Worker,OO,24.14,18,19
3611,3611,210,50,1,Tue,Resident Worker,HW,53.91,6,7
3612,3612,64,209,1,Tue,Resident Worker,WH,53.91,12,13
3625,3625,197,197,1,Tue,Resident Worker,WO,53.5,16,17
3668,3668,137,99,1,Tue,Resident Worker,HW,51.07,8,9
3669,3669,99,125,1,Tue,Resident Worker,WO,51.07,15,16
3670,3670,125,197,1,Tue,Resident Worker,OO,51.07,18,19
3671,3671,197,137,1,Tue,Resident Worker,OH,51.07,20,21
3683,3683,162,3,1,Tue,Resident Worker,HW,44.65,7,8
3684,3684,3,162,1,Tue,Resident Worker,WH,44.65,17,18
3686,3686,9,9,1,Tue,Home Worker,HH,191.05,10,11
3687,3687,9,9,1,Tue,Home Worker,HH,67.34,11,12
3688,3688,9,9,1,Tue,Home Worker,HH,67.34,14,15
3697,3697,122,128,1,Tue,Resident Worker,HO,33.2,14,15
3698,3698,128,148,1,Tue,Resident Worker,OH,64.69,17,18
3702,3702,110,96,1,Tue,Home Worker,HH,52.2,11,12
3703,3703,96,109,1,Tue,Home Worker,HH,52.2,18,19
3709,3709,213,43,1,Tue,Home Worker,HO,20.75,7,8
3710,3710,34,211,1,Tue,Home Worker,OO,20.75,16,17
3711,3711,211,213,1,Tue,Home Worker,OH,44.67,16,17
3724,3724,117,117,1,Tue,Home Worker,HH,34.65,15,16
3753,3753,213,203,1,Tue,Home Worker,HO,30.82,10,11
3754,3754,203,213,1,Tue,Home Worker,OH,30.82,12,13
3827,3827,49,49,1,Tue,Resident Worker,OO,46.46,13,14
3900,3900,130,130,1,Tue,Home Worker,HH,48.57,8,9
3912,3912,82,82,1,Tue,Resident Worker,HH,45.72,9,10
3915,3915,213,213,1,Tue,Home Worker,HH,192.4,13,14
3941,3941,64,38,1,Tue,Long Term Visitor,OO,41.78,8,9
3942,3942,38,64,1,Tue,Long Term Visitor,OO,66.05,12,13
3950,3950,213,213,1,Tue,Home Worker,HO,26.92,14,15
3993,3993,229,49,1,Tue,Resident Worker,HO,35.69,8,9
3994,3994,49,130,1,Tue,Resident Worker,OW,35.69,9,10
