origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
132,29,0,0,0,0,0,0,0,2,2,2,1,4,2,5,3,1,1,2,2,1,0,0,1,0,132,30,0,0,0,0,0,0,0,0,3,0,5,1,2,3,1,1,2,3,4,1,2,1,0,1
133,103,0,0,0,0,0,1,0,3,2,5,5,10,4,8,11,13,12,4,10,5,5,4,1,0,133,106,0,0,0,0,0,0,5,10,7,12,4,3,8,7,7,6,10,6,4,6,1,5,4,1
134,18,0,0,0,0,0,0,0,0,1,1,4,1,0,1,0,3,1,1,2,1,2,0,0,0,134,14,0,0,0,0,0,1,0,1,2,3,1,0,0,2,0,0,1,1,1,1,0,0,0,0
135,36,0,0,0,0,0,0,3,3,3,0,0,1,2,1,1,5,5,3,4,1,2,2,0,0,135,32,0,0,0,0,0,0,0,1,0,3,1,2,2,1,2,4,2,1,6,2,3,1,0,1
136,266,0,0,0,0,2,10,10,19,29,20,6,16,17,15,17,15,23,17,13,14,11,9,3,0,136,261,0,0,0,0,0,2,2,5,11,16,15,11,9,21,17,26,23,14,26,16,19,13,9,6
137,135,0,0,0,0,0,3,14,11,14,17,7,4,10,8,6,6,8,11,3,6,4,3,0,0,137,145,0,0,0,0,0,0,4,4,4,8,6,6,9,8,8,18,8,5,17,12,9,9,6,4
138,11,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,138,11,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,1,1,1,2,0,0,0
139,74,0,0,0,0,2,2,11,4,14,2,2,4,4,2,2,1,5,7,6,2,0,4,0,0,139,70,0,0,0,0,0,1,2,2,3,3,3,1,2,3,3,4,3,8,9,7,5,6,3,1
140,108,0,0,0,0,0,1,6,15,16,6,4,4,4,13,5,8,9,4,6,2,3,1,1,0,140,100,0,0,0,0,0,0,2,3,0,6,8,5,5,5,7,7,8,10,9,13,3,5,1,3
141,184,0,0,0,0,1,6,14,21,11,17,15,15,6,11,8,6,11,12,8,7,7,6,1,1,141,178,0,0,0,0,0,0,4,7,5,5,6,12,10,9,10,15,16,22,20,9,12,8,6,2
142,110,0,0,0,0,0,1,9,7,9,11,11,9,12,3,3,5,7,8,3,4,4,4,0,0,142,131,0,0,0,0,0,1,0,3,6,7,5,3,11,11,9,12,14,10,8,8,9,6,8,0
143,276,0,0,0,0,1,3,2,8,13,18,12,19,18,16,20,19,23,27,16,16,22,13,9,1,143,285,0,0,0,0,0,0,7,14,17,17,23,17,27,18,16,17,17,22,24,21,10,6,9,2
144,176,0,0,0,0,2,4,10,12,10,8,6,10,6,11,11,11,14,18,14,8,10,5,4,2,144,184,0,0,0,0,0,0,5,11,7,6,9,13,8,11,12,13,14,17,13,14,10,10,3,7
145,175,0,0,0,0,0,7,12,21,18,9,13,10,14,11,7,11,10,9,7,9,4,3,0,0,145,149,0,0,0,0,0,2,3,0,4,8,6,7,12,8,5,12,13,9,21,18,9,7,3,2
146,48,0,0,0,0,0,0,4,2,4,5,1,0,6,2,6,3,7,0,4,2,2,0,0,0,146,50,0,0,0,0,0,0,1,0,5,1,4,3,4,4,4,4,1,4,7,6,0,1,0,1
147,148,0,0,0,0,0,0,2,5,2,12,11,10,12,12,10,13,15,10,12,9,4,4,5,0,147,164,0,0,0,0,0,1,1,6,13,9,11,12,23,11,5,14,6,12,14,13,2,8,2,0
148,222,0,0,0,0,3,2,6,14,13,6,14,13,13,19,19,19,14,20,19,10,10,6,2,0,148,238,0,0,0,0,0,1,2,15,12,10,12,13,13,19,20,17,18,11,30,16,14,7,4,4
149,86,0,0,0,0,0,3,1,3,3,0,2,3,9,4,7,4,10,7,13,4,3,7,3,0,149,89,0,0,0,0,0,0,2,5,4,8,7,10,3,5,8,8,3,7,8,6,3,2,0,0
150,172,0,0,0,0,1,4,6,10,15,11,10,13,10,9,3,13,13,19,12,8,4,7,4,0,150,159,0,0,0,0,0,1,3,4,9,10,11,8,10,9,9,15,6,18,11,9,8,8,7,3
151,42,0,0,0,0,0,1,5,2,4,3,4,5,4,2,1,0,2,2,1,3,0,2,1,0,151,37,0,0,0,0,0,0,0,3,2,1,1,2,3,0,1,3,1,5,3,1,4,2,3,2
152,19,0,0,0,0,0,0,2,3,2,3,2,1,2,0,0,0,0,2,0,0,1,1,0,0,152,21,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,1,1,5,4,2,0,1,1
153,47,0,0,0,0,0,3,5,10,2,3,2,3,2,0,3,0,1,5,4,1,3,0,0,0,153,46,0,0,0,0,0,1,1,2,1,0,0,3,1,2,3,5,2,7,4,5,3,3,2,1
154,321,0,0,0,0,4,3,14,25,28,32,19,23,18,20,16,21,19,14,22,15,14,7,7,0,154,304,0,0,0,0,0,2,5,8,16,17,18,14,16,15,17,21,29,29,28,18,19,20,7,4
155,62,0,0,0,0,0,1,2,4,6,4,5,3,4,1,3,8,3,8,2,3,3,2,0,0,155,73,0,0,0,0,0,0,2,3,2,3,4,7,8,3,3,3,4,4,9,5,3,4,2,3
156,65,0,0,0,0,0,0,3,6,4,7,0,7,2,1,6,4,6,9,2,3,1,3,0,1,156,60,0,0,0,0,0,0,0,0,8,5,1,6,2,4,4,4,6,3,4,5,3,4,1,0
157,64,0,0,0,0,0,2,2,3,5,5,2,6,5,5,4,4,6,5,4,2,2,2,0,0,157,53,0,0,0,0,0,0,0,3,2,3,3,2,3,5,4,6,3,3,6,2,4,2,1,0
158,66,0,0,0,0,0,2,2,6,3,7,2,2,8,8,2,4,7,4,5,1,0,3,0,0,158,76,0,0,0,0,0,0,1,5,3,4,8,5,3,6,5,3,7,4,11,1,3,3,2,2
159,109,0,0,0,0,0,1,5,4,5,3,9,10,3,1,10,3,6,9,12,8,13,7,0,0,159,108,0,0,0,0,0,0,1,3,4,5,5,8,6,12,8,7,5,11,10,9,4,3,5,2
160,15,0,0,0,0,0,1,1,0,1,1,1,1,2,0,1,0,2,2,0,1,0,1,0,0,160,15,0,0,0,0,0,0,0,1,0,3,1,1,0,1,1,0,0,0,4,0,1,0,2,0
161,26,0,0,0,0,0,0,1,1,1,2,2,1,3,2,0,1,4,1,2,1,1,2,1,0,161,30,0,0,0,0,0,0,0,1,2,0,0,2,2,1,3,3,0,4,5,0,2,3,2,0
162,99,0,0,0,0,0,1,2,9,8,6,5,5,10,6,6,4,11,8,7,6,1,1,3,0,162,97,0,0,0,0,0,0,1,5,5,7,5,3,4,7,5,12,4,10,8,6,6,5,2,2
163,43,0,0,0,0,0,1,1,3,1,4,2,2,4,4,1,3,6,1,1,2,3,3,1,0,163,46,0,0,0,0,0,0,2,0,3,4,0,1,3,4,0,1,3,7,10,2,2,2,1,1
164,39,0,0,0,0,0,0,1,3,1,8,3,2,4,0,2,3,2,4,0,1,2,1,2,0,164,39,0,0,0,0,0,0,3,3,5,2,2,1,3,2,1,1,2,3,4,3,2,2,0,0
165,86,0,0,0,0,1,3,6,9,9,5,7,4,4,3,2,4,6,6,7,3,4,2,1,0,165,77,0,0,0,0,0,0,0,6,4,5,4,2,2,5,2,5,4,5,11,5,4,8,5,0
166,37,0,0,0,0,0,0,4,4,6,2,1,2,0,5,4,2,4,1,0,0,1,1,0,0,166,34,0,0,0,0,0,0,1,0,3,2,1,0,3,0,6,3,1,4,2,3,1,3,1,0
167,152,0,0,0,0,0,4,6,7,6,6,8,4,7,15,8,18,15,17,13,8,5,2,3,0,167,171,0,0,0,0,0,0,2,11,11,15,16,11,10,9,14,11,9,15,17,5,2,6,5,2
168,35,0,0,0,0,0,0,2,4,4,3,3,4,0,1,1,3,0,2,3,3,0,0,2,0,168,34,0,0,0,0,0,0,0,1,3,2,2,1,1,2,2,3,1,4,4,3,2,3,0,0
169,115,0,0,0,0,0,1,3,1,7,10,4,11,9,4,10,14,13,13,7,3,1,2,1,1,169,111,0,0,0,0,0,0,4,7,12,14,6,5,8,3,7,13,10,2,4,6,4,2,2,2
170,36,0,0,0,0,0,0,0,3,1,2,1,2,3,4,2,1,2,5,3,4,3,0,0,0,170,34,0,0,0,0,0,0,0,0,4,3,4,1,1,2,4,0,3,2,3,5,1,1,0,0
171,70,0,0,0,0,0,0,0,2,6,4,3,3,2,5,4,3,11,8,4,4,1,7,3,0,171,78,0,0,0,0,0,0,1,7,2,9,8,0,8,6,7,9,6,2,2,3,6,1,0,1
172,121,0,0,0,0,0,4,7,7,11,12,2,4,10,8,9,5,13,10,7,3,3,3,3,0,172,110,0,0,0,0,0,0,2,0,8,9,10,4,3,11,10,9,8,11,10,8,2,3,1,1
173,28,0,0,0,0,0,0,1,0,0,2,1,3,4,2,2,3,3,1,2,1,0,3,0,0,173,25,0,0,0,0,0,0,0,1,1,6,2,2,2,1,1,1,3,2,2,1,0,0,0,0
174,8,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,174,12,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0,1,2,0,0,0,0,1
175,15,0,0,0,0,0,0,0,1,1,0,0,4,0,1,1,1,1,2,1,2,0,0,0,0,175,13,0,0,0,0,0,0,0,2,1,2,0,1,1,1,2,0,1,0,1,1,0,0,0,0
176,75,0,0,0,0,0,1,3,2,13,4,3,1,7,9,5,3,6,4,5,3,2,0,4,0,176,70,0,0,0,0,0,0,2,4,1,2,7,2,3,6,7,3,5,2,5,6,3,6,2,3
177,209,0,0,0,0,0,4,10,12,15,11,12,8,17,15,17,12,15,20,11,9,10,6,4,1,177,219,0,0,0,0,0,0,2,6,14,19,10,16,11,14,12,15,18,22,15,20,9,6,6,3
178,123,0,0,0,0,1,4,9,12,11,10,9,6,12,2,4,7,8,7,11,3,3,1,3,0,178,118,0,0,0,0,0,1,2,1,4,10,3,6,5,7,5,4,17,13,11,9,7,10,1,2
179,21,0,0,0,0,0,0,0,0,2,1,0,1,0,3,3,4,2,1,3,1,0,0,0,0,179,24,0,0,0,0,0,0,0,1,3,2,4,1,2,3,0,1,0,3,1,1,1,0,1,0
180,65,0,0,0,0,0,2,2,9,4,2,5,2,3,5,2,3,3,5,4,6,4,1,1,2,180,66,0,0,0,0,0,0,2,3,4,0,4,3,2,5,1,2,6,6,5,6,5,5,4,3
181,64,0,0,0,0,0,2,3,5,5,4,6,4,3,4,0,5,5,4,4,5,1,4,0,0,181,76,0,0,0,0,0,0,4,2,2,7,6,2,3,2,6,5,5,8,4,7,4,4,4,0
182,56,0,0,0,0,0,2,7,2,9,1,4,5,3,4,5,3,5,3,2,1,0,0,0,0,182,47,0,0,0,0,0,0,0,0,1,4,1,1,4,6,1,5,2,8,4,2,4,1,1,1
183,53,0,0,0,0,1,2,1,4,8,7,2,3,1,4,2,2,3,4,2,4,2,0,0,1,183,53,0,0,0,0,0,0,0,1,2,0,2,3,2,2,4,4,1,5,7,7,4,5,2,2
184,74,0,0,0,0,0,0,7,11,6,6,6,2,2,4,3,2,0,7,4,3,5,4,2,0,184,67,0,0,0,0,0,0,0,1,1,3,1,4,4,1,2,4,3,4,6,12,9,6,2,3
185,167,0,0,0,0,0,5,8,19,13,15,12,4,13,6,5,9,11,14,9,7,7,5,5,0,185,179,0,0,0,0,0,0,3,6,5,15,5,3,9,12,6,15,11,16,28,20,10,7,6,2
186,93,0,0,0,0,1,1,6,3,10,10,4,6,3,8,3,10,2,10,4,5,1,4,2,0,186,97,0,0,0,0,0,1,2,2,4,6,3,2,6,6,7,3,9,7,10,7,11,4,5,2
187,281,0,0,0,0,0,3,7,12,17,11,15,19,20,19,22,19,23,31,18,13,14,10,8,0,187,270,0,0,0,0,0,0,2,16,18,11,20,15,23,25,23,14,19,27,18,13,12,10,1,3
188,229,0,0,0,0,0,2,6,13,9,17,14,15,12,23,19,13,23,17,16,8,9,9,4,0,188,219,0,0,0,0,0,0,9,15,14,22,19,16,12,15,11,17,12,13,18,10,6,5,2,2
189,216,0,0,0,0,1,3,15,14,18,13,7,11,18,12,17,9,10,22,15,11,5,9,5,1,189,231,0,0,0,0,0,1,1,6,9,7,13,7,12,17,16,16,26,19,23,20,13,10,11,3
190,92,0,0,0,0,0,2,5,6,10,12,5,4,9,3,2,3,4,10,5,7,2,1,2,0,190,91,0,0,0,0,0,0,0,4,4,4,4,2,4,12,5,4,8,8,4,11,5,3,8,1
191,70,0,0,0,0,0,0,2,7,8,6,5,6,3,4,0,2,3,10,5,2,3,2,2,0,191,66,0,0,0,0,0,0,1,1,3,3,3,4,1,5,4,4,4,10,7,4,7,3,2,0
192,392,0,0,0,0,1,5,6,16,23,20,25,21,25,27,39,25,34,35,30,22,20,9,6,3,192,411,0,0,0,0,0,0,12,23,29,23,26,20,30,19,27,22,28,36,30,19,22,24,13,8
193,238,0,0,0,0,1,5,12,18,16,14,10,11,11,11,18,17,23,23,23,9,3,7,4,2,193,255,0,0,0,0,0,0,4,3,9,12,6,13,13,31,19,18,20,27,26,12,15,11,10,4
194,37,0,0,0,0,0,1,5,2,3,2,2,2,2,0,0,2,2,1,5,4,1,1,1,1,194,36,0,0,0,0,0,0,1,3,0,1,1,2,0,2,1,3,3,5,5,2,3,1,2,1
195,180,0,0,0,0,2,1,11,17,13,13,11,13,9,13,11,11,14,11,6,10,4,7,3,0,195,197,0,0,0,0,0,2,3,7,11,10,7,9,14,11,11,15,12,18,24,16,10,9,5,3
196,11,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,1,1,1,0,0,1,0,0,0,196,13,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,2,0,1,0,1,2,1,0
197,354,0,0,0,0,0,6,10,28,23,25,22,27,22,25,17,22,34,30,15,13,19,12,3,1,197,341,0,0,0,0,0,1,4,11,15,28,22,23,16,19,23,28,23,34,29,19,14,12,12,4
198,250,0,0,0,0,0,5,15,18,17,12,19,16,11,17,14,15,20,21,15,8,12,7,6,2,198,236,0,0,0,0,0,1,4,3,13,11,11,20,14,9,11,22,22,24,20,17,14,6,9,3
199,223,0,0,0,0,1,4,11,14,15,18,16,10,11,16,9,9,26,16,15,4,9,9,9,1,199,221,0,0,0,0,0,0,2,2,7,8,14,5,17,13,17,24,18,23,23,14,16,4,9,4
200,48,0,0,0,0,0,2,2,9,5,3,5,0,2,1,3,3,2,5,1,1,2,1,1,0,200,39,0,0,0,0,0,0,0,1,4,0,3,2,2,1,1,2,5,5,4,0,3,5,0,0
201,109,0,0,0,0,0,3,7,11,5,8,4,7,9,10,7,11,3,8,2,5,2,3,4,0,201,109,0,0,0,0,0,0,0,1,6,2,9,8,7,10,7,8,8,8,10,7,9,3,4,2
202,60,0,0,0,0,0,2,3,4,5,4,7,2,5,4,4,4,3,3,5,2,1,2,0,0,202,55,0,0,0,0,0,0,3,1,5,1,4,2,1,3,1,6,4,5,4,1,6,3,2,3
203,298,0,0,0,0,1,3,12,25,25,18,17,12,17,14,16,21,24,27,15,18,15,12,5,1,203,326,0,0,0,0,0,0,4,9,14,21,20,15,23,23,15,22,23,27,39,19,19,23,5,5
204,65,0,0,0,0,0,2,5,10,5,6,2,1,3,8,1,4,4,5,2,3,3,0,1,0,204,63,0,0,0,0,0,1,0,1,4,2,4,1,1,3,2,3,7,6,3,7,7,5,2,4
205,136,0,0,0,0,1,3,11,9,13,8,12,6,8,9,12,11,13,3,3,2,8,2,2,0,205,127,0,0,0,0,0,0,2,3,7,7,10,4,9,9,4,16,5,12,13,5,11,3,2,5
206,220,0,0,0,0,1,1,12,19,17,17,20,14,13,13,12,10,21,14,11,8,9,4,4,0,206,228,0,0,0,0,0,1,1,5,6,10,13,13,10,15,17,18,12,19,15,22,9,16,11,14
207,196,0,0,0,0,2,4,7,25,21,9,17,6,13,9,7,14,13,10,16,10,8,4,1,0,207,197,0,0,0,0,0,1,5,3,13,6,11,14,7,9,16,13,8,22,20,17,10,13,5,3
208,377,0,0,0,0,5,9,19,25,34,19,26,18,15,29,24,18,26,24,23,22,21,12,7,1,208,380,0,0,0,0,0,2,2,9,21,23,15,22,24,20,30,30,32,38,41,21,21,14,6,7
209,295,0,0,0,0,1,6,16,19,18,12,17,15,24,17,18,18,21,17,15,22,19,14,6,0,209,297,0,0,0,0,0,0,4,13,12,17,11,23,22,19,13,17,24,30,25,24,18,13,8,4
210,218,0,0,0,0,1,7,5,8,16,13,12,13,15,6,17,5,22,21,22,9,14,8,4,0,210,233,0,0,0,0,0,0,2,9,13,18,11,15,10,14,16,14,15,36,19,19,5,8,8,1
211,90,0,0,0,0,0,3,7,11,8,3,5,4,4,5,3,8,5,6,9,3,2,2,2,0,211,106,0,0,0,0,0,0,3,4,6,7,2,8,6,8,2,5,14,7,12,7,6,4,2,3
212,45,0,0,0,0,0,1,5,3,4,4,3,1,0,2,0,1,5,4,3,3,3,3,0,0,212,48,0,0,0,0,0,0,0,2,2,5,3,2,3,0,4,2,5,7,5,2,3,0,2,1
213,623,0,0,0,0,6,9,17,34,45,45,41,58,51,42,65,30,48,38,23,27,19,12,10,3,213,590,0,0,0,0,0,2,15,23,23,28,28,37,29,40,40,45,34,53,53,37,27,30,28,14
214,241,0,0,0,0,2,10,16,21,25,15,12,14,6,11,10,10,13,23,14,11,8,11,5,4,214,250,0,0,0,0,0,1,3,6,2,8,10,10,11,17,16,18,17,26,21,24,22,18,11,7
215,179,0,0,0,0,0,5,14,14,11,13,14,12,5,13,9,18,12,15,9,5,2,7,1,0,215,172,0,0,0,0,0,0,2,5,16,18,6,9,10,7,3,12,19,15,21,9,7,9,2,2
216,62,0,0,0,0,0,6,7,6,8,3,3,2,3,4,1,5,4,3,3,1,2,1,0,0,216,66,0,0,0,0,0,1,2,2,6,7,4,3,3,1,2,4,4,7,7,2,3,5,3,0
217,66,0,0,0,0,0,3,6,7,4,5,6,5,0,2,3,6,4,3,5,2,1,2,2,0,217,72,0,0,0,0,0,0,0,3,4,5,4,3,4,4,6,7,6,5,6,5,2,2,4,2
218,324,0,0,0,0,2,14,27,33,23,26,22,12,19,16,16,17,22,24,16,9,10,9,5,2,218,336,0,0,0,0,0,0,4,12,15,13,18,12,16,20,16,31,24,34,26,27,22,19,13,10
219,36,0,0,0,0,1,5,2,3,4,3,1,2,1,2,2,2,2,0,2,1,2,1,0,0,219,32,0,0,0,0,0,1,3,3,1,3,0,2,2,1,2,1,0,4,1,4,2,1,1,0
220,38,0,0,0,0,0,1,1,3,4,2,0,0,2,4,2,3,3,4,2,5,0,1,0,1,220,48,0,0,0,0,0,0,0,5,4,2,1,0,2,4,3,4,4,2,3,5,3,1,3,1
221,129,0,0,0,0,0,2,1,3,9,6,3,7,9,8,8,12,19,19,6,8,4,3,2,0,221,122,0,0,0,0,0,0,2,7,9,11,9,9,10,9,9,9,8,4,10,7,4,1,3,1
222,34,0,0,0,0,0,0,1,0,0,2,2,1,2,4,1,3,4,6,4,2,1,0,1,0,222,34,0,0,0,0,0,0,0,2,1,2,2,0,3,4,1,1,2,3,5,2,1,5,0,0
223,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,2,0,1,0,0,0,0,223,8,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0
224,60,0,0,0,0,0,0,0,2,4,3,2,4,7,5,4,5,5,8,3,2,2,2,1,1,224,57,0,0,0,0,0,0,1,1,6,7,4,3,5,3,6,2,3,4,5,4,2,0,1,0
225,113,0,0,0,0,0,2,4,12,6,7,5,7,9,6,3,8,10,15,8,3,5,2,1,0,225,115,0,0,0,0,0,0,1,6,11,15,6,10,3,9,7,3,9,10,12,2,8,2,1,0
226,91,0,0,0,0,3,6,2,5,2,1,11,4,5,3,9,14,10,5,4,4,2,0,0,1,226,101,0,0,0,0,0,1,4,9,4,3,7,13,12,12,6,5,6,4,3,2,3,3,1,3
227,44,0,0,0,0,0,1,4,3,2,0,5,4,2,2,6,3,4,4,1,1,0,0,1,1,227,50,0,0,0,0,0,1,1,2,6,1,1,2,5,1,2,5,4,2,3,2,4,2,3,1
228,27,0,0,0,0,0,0,1,0,1,0,0,2,4,1,3,3,1,1,1,1,4,4,0,0,228,29,0,0,0,0,0,0,0,1,2,3,3,4,3,2,0,3,1,4,2,0,1,0,0,0
229,174,0,0,0,0,0,2,8,15,14,14,9,19,11,10,4,7,11,9,15,12,8,5,1,0,229,171,0,0,0,0,0,1,2,3,9,12,12,8,12,10,9,16,7,18,16,13,4,11,6,1
230,63,0,0,0,0,0,1,2,5,3,5,6,2,2,3,5,4,8,4,4,2,4,3,0,0,230,73,0,0,0,0,0,0,1,2,7,5,3,4,4,2,5,7,6,4,12,3,3,2,2,1
301,113,0,0,0,0,1,5,11,11,9,4,7,6,7,2,5,6,9,7,5,8,6,3,1,0,301,118,0,0,0,0,0,0,1,3,10,9,5,7,5,4,8,11,7,12,14,5,7,5,4,1
302,193,0,0,0,0,2,3,11,15,11,12,11,12,16,12,14,13,15,10,11,11,6,7,1,0,302,197,0,0,0,0,0,1,4,5,12,11,10,15,10,17,8,13,19,18,11,13,9,11,6,4
303,10,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,303,10,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,1,0,0,2,0,0,0
304,353,0,0,0,0,2,17,32,41,18,26,16,22,23,13,15,14,21,27,11,23,15,12,5,0,304,366,0,0,0,0,0,2,10,11,15,8,15,15,18,17,26,27,35,29,34,26,29,23,16,10
305,150,0,0,0,0,3,2,8,10,10,8,8,9,12,6,6,8,13,14,8,13,3,4,4,1,305,167,0,0,0,0,0,1,7,8,8,10,11,5,5,12,7,19,11,13,21,8,8,3,7,2
306,45,0,0,0,0,1,1,1,3,2,3,3,3,7,2,2,1,6,3,2,2,1,2,0,0,306,45,0,0,0,0,0,1,1,2,4,2,3,4,0,3,1,4,4,7,4,3,2,0,0,0
307,67,0,0,0,0,0,6,5,8,9,2,2,3,3,4,5,5,3,4,1,2,3,2,0,0,307,70,0,0,0,0,0,0,0,2,4,5,2,6,3,5,3,6,5,8,2,5,5,6,2,1
308,123,0,0,0,0,0,8,14,11,10,8,7,6,4,5,9,7,5,10,9,3,3,3,1,0,308,123,0,0,0,0,0,0,0,2,8,5,6,3,5,5,7,4,14,15,17,10,6,12,3,1
309,332,0,0,0,0,1,9,29,40,19,18,22,22,21,19,23,16,17,23,17,7,15,10,4,0,309,324,0,0,0,0,0,1,4,17,16,12,14,11,18,16,20,23,25,36,36,24,14,17,13,4
310,227,0,0,0,0,0,3,14,21,11,11,10,10,15,16,27,22,10,17,13,10,8,7,2,0,310,227,0,0,0,0,0,0,9,22,16,10,11,6,14,10,15,12,18,25,24,14,10,1,6,4
311,129,0,0,0,0,1,1,11,7,12,11,8,5,9,9,10,3,5,10,11,4,3,6,3,0,311,141,0,0,0,0,0,2,4,5,9,4,3,2,9,6,11,9,17,17,12,11,7,9,4,0
312,164,0,0,0,0,1,5,13,14,19,13,7,8,11,13,9,6,8,10,8,6,3,9,1,0,312,179,0,0,0,0,0,0,2,1,5,6,8,7,10,9,9,9,18,10,24,20,13,12,10,5
313,60,0,0,0,0,0,0,5,9,7,4,3,2,6,3,4,5,1,4,3,2,1,0,1,0,313,69,0,0,0,0,0,1,1,3,3,6,6,2,2,5,6,4,6,9,4,4,2,0,1,4
314,11,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,3,1,0,0,0,0,0,1,0,314,15,0,0,0,0,0,0,2,0,0,2,1,1,0,0,1,2,3,0,0,0,1,0,2,0
315,82,0,0,0,0,0,5,7,8,5,8,3,7,3,6,4,5,5,5,3,1,1,4,2,0,315,85,0,0,0,0,0,1,2,4,2,7,1,3,7,3,4,2,6,11,11,6,7,4,4,0
316,158,0,0,0,0,0,4,8,17,12,8,9,5,11,17,10,7,11,14,4,11,5,2,3,0,316,159,0,0,0,0,0,1,5,6,10,8,11,8,11,8,10,8,10,12,13,16,7,7,3,5
317,27,0,0,0,0,0,1,0,0,2,1,2,2,1,0,1,4,1,5,2,1,2,1,1,0,317,31,0,0,0,0,0,1,3,1,2,2,0,1,0,1,0,4,4,2,3,2,1,1,3,0
318,154,0,0,0,0,1,3,3,5,11,6,9,9,9,14,14,14,11,15,13,5,8,3,1,0,318,147,0,0,0,0,0,4,3,9,12,9,11,9,10,14,9,7,9,13,11,6,3,3,4,1
319,37,0,0,0,0,0,0,1,4,2,2,1,1,1,3,1,2,5,3,3,1,5,2,0,0,319,38,0,0,0,0,0,0,1,2,3,1,2,1,3,4,5,1,3,3,2,2,4,1,0,0
320,39,0,0,0,0,0,0,3,3,3,2,5,5,0,1,3,1,2,4,3,0,0,2,2,0,320,42,0,0,0,0,0,0,1,1,4,1,1,3,2,1,1,5,3,3,5,7,1,2,0,1
321,76,0,0,0,0,1,4,6,7,3,3,2,6,5,3,3,6,6,8,3,5,3,2,0,0,321,77,0,0,0,0,0,1,1,3,6,8,4,5,3,3,6,6,6,5,4,4,5,5,2,0
322,57,0,0,0,0,0,3,4,5,4,3,3,5,1,4,4,4,1,4,2,4,3,2,1,0,322,65,0,0,0,0,0,0,1,2,3,3,3,2,3,5,6,2,4,7,3,7,6,3,5,0
323,183,0,0,0,0,0,3,7,13,6,8,9,7,14,13,12,19,14,14,20,6,10,5,2,1,323,185,0,0,0,0,0,0,3,11,18,10,11,7,11,11,13,16,11,14,19,11,6,9,1,3
324,251,0,0,0,0,1,4,22,15,17,13,13,12,12,17,21,16,14,17,18,10,11,10,7,1,324,258,0,0,0,0,0,1,4,10,16,11,11,14,18,13,18,20,20,20,33,13,20,11,3,2
325,192,0,0,0,0,2,4,8,3,9,7,13,19,12,13,12,13,15,24,16,7,7,4,2,2,325,189,0,0,0,0,0,0,6,11,14,9,13,13,12,8,13,18,15,12,9,13,5,6,10,0
326,20,0,0,0,0,1,1,0,1,0,2,1,4,1,0,1,0,2,1,3,0,0,2,0,0,326,24,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,1,4,3,2,3,1,0,3,0
327,18,0,0,0,0,3,0,1,2,0,1,1,4,0,1,1,1,2,1,0,0,0,0,0,0,327,16,0,0,0,0,0,0,1,2,2,0,3,1,2,2,0,1,0,1,0,1,0,0,0,0
328,181,0,0,0,0,1,10,15,13,17,10,15,15,12,8,5,9,8,13,7,11,6,2,4,0,328,188,0,0,0,0,0,3,4,5,12,12,10,10,11,10,5,13,8,15,19,14,12,10,10,5
329,64,0,0,0,0,0,5,7,5,3,3,5,3,5,3,2,3,3,4,6,4,2,1,0,0,329,51,0,0,0,0,0,0,1,4,2,5,2,1,3,1,1,3,5,3,2,5,3,6,2,2
330,74,0,0,0,0,0,5,5,8,9,8,4,4,1,5,4,2,6,5,4,2,0,2,0,0,330,81,0,0,0,0,0,2,1,2,1,7,2,5,3,3,5,8,7,9,9,7,3,3,3,1
331,11,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,2,1,1,0,0,0,0,0,331,9,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0
332,83,0,0,0,0,1,1,0,4,3,4,4,6,1,6,7,6,8,9,6,5,4,6,2,0,332,76,0,0,0,0,0,2,2,1,3,4,2,4,5,4,6,12,5,6,6,6,3,5,0,0
333,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,333,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
