TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
446,3181,3422,1,59,8,2,0,11
1344,2210,2207,0,24,2,2,1,19
32,2686,2787,2,28,4,1,5,9
97,3444,3542,0,27,1,2,2,26
1312,7570,8765,1,94,27,1,2,46
684,6446,6753,2,78,8,8,13,33
1234,7230,6689,1,86,10,3,2,47
387,683,1122,0,11,0,0,0,2
120,7204,7043,0,85,8,2,1,59
944,24043,9947,1,25,136,3,0,23
629,9646,9769,4,111,6,5,6,93
182,2549,2077,0,16,2,0,0,21
425,9276,9350,5,75,3,1,0,62
1039,10937,16048,4,147,55,9,8,53
42,5177,3116,1,34,3,2,0,13
646,9282,9334,0,133,19,9,7,72
86,14592,15834,5,182,32,4,4,85
1077,2112,2005,1,35,2,1,0,11
509,594859,1944,0,26,0,2,1,19
1064,4255,4787,1,66,1,0,3,25
364,5941,5940,2,69,5,3,1,41
1135,5595,5296,9,58,12,0,0,41
213,23101,24100,7,330,26,6,0,188
340,13279,13790,10,118,13,7,3,82
863,6526,6151,3,39,20,4,0,46
1213,1077,1198,0,11,0,0,0,10
612,6296,6269,2,88,9,2,1,48
1076,9691,10592,0,32,159,28,0,9
946,2859,3161,1,37,6,5,4,14
112,11761,22634,4,169,10,1,0,97
968,2973,4057,0,32,14,2,0,16
976,1615,2982,2,7,28,4,0,5
626,6905,7531,0,89,8,4,0,58
321,4785,4418,0,34,5,2,4,28
671,7839,8291,6,95,10,5,5,49
674,6166,6626,1,58,9,5,1,50
1206,874,1144,0,12,3,0,0,4
745,2494,777998,0,29,2,1,0,17
557,2614,2559,0,21,1,0,0,14
1343,487,698,0,3,0,0,0,9
1197,1553,2607,0,26,0,0,0,13
60,5236,16309,5,53,16,4,1,35
129,2573,2851,0,33,6,4,0,17
534,1679,1672,0,29,1,3,1,9
553,968,2695,0,11,0,0,0,8
40,7560,7582,5,80,9,14,11,46
1105,5289,5458,1,23,87,5,5,17
474,18632,4270,1,72,9,3,1,43
192,16230,16345,1,218,13,4,5,131
186,4283,4311,1,39,5,0,0,35
39,10801,10813,5,124,19,18,26,30
1161,1740,1813383,0,20,0,3,0,9
